Alias	UniprotID	PFAM_domain	E-value_domain	Domain_description	Target_name	From_coordinate	To_coordinate	E-value_full_sequence	c-Evalue_domain	i-Evalue_domain	Description	Target_uniprot
Btr|P40408	P40408	Peripla_BP_2	1.7000000000000002e-22	Periplasmic binding protein	AAT83509.1	115	329	1.7e-16	1.1e-18	2.5e-16	 -	Q6A6V4
Btr|P40408	P40408	Peripla_BP_2	1.7000000000000002e-22	Periplasmic binding protein	AAT81836.1	72	308	1.3e-34	8.4e-37	1.9e-34	 -	Q6ABL8
Btr|P40408	P40408	Peripla_BP_2	1.7000000000000002e-22	Periplasmic binding protein	AAT82550.1	13	228	1.0000000000000001e-28	5.5e-31	1.3000000000000002e-28	 -	Q6A9L6
Btr|P40408	P40408	Peripla_BP_2	1.7000000000000002e-22	Periplasmic binding protein	AAT82536.1	187	413	3.3e-35	2.1e-37	4.7999999999999997e-35	 -	Q6A9N0
Btr|P40408	P40408	Peripla_BP_2	1.7000000000000002e-22	Periplasmic binding protein	AAT82180.1	109	308	1.9e-23	1.0999999999999999e-25	2.5e-23	 -	Q6AAN6
Btr|P40408	P40408	Peripla_BP_2	1.7000000000000002e-22	Periplasmic binding protein	AAT81867.1	133	372	4.600000000000001e-28	1.9999999999999998e-30	4.600000000000001e-28	 -	Q6ABR2
Btr|P40408	P40408	Peripla_BP_2	1.7000000000000002e-22	Periplasmic binding protein	AAT81867.1	392	403	4.600000000000001e-28	0.67	150.0	 -	Q6ABR2
Btr|P40408	P40408	Peripla_BP_2	1.7000000000000002e-22	Periplasmic binding protein	AAT82412.1	134	378	5.1e-31	3.3e-33	7.5e-31	 -	Q6AA04
Btr|P40408	P40408	Peripla_BP_2	1.7000000000000002e-22	Periplasmic binding protein	AAT82195.1	37	210	2.3e-05	1e-06	0.00023	 -	Q6AAM1
Btr|P40408	P40408	Peripla_BP_2	1.7000000000000002e-22	Periplasmic binding protein	AAT81866.1	135	366	1.1e-22	7.2e-25	1.7000000000000002e-22	 -	Q6ABR3
BtRhaR|O05261	O05261	DeoRC	2.2e-54	DeoR C terminal sensor domain	AAT82056.1	121	256	8.9e-29	3.8e-31	1.5000000000000002e-28	 -	Q6AB10
BtRhaR|O05261	O05261	HTH_DeoR	2.4e-17	DeoR-like helix-turn-helix domain	AAT82056.1	51	105	6.7e-10	6.4e-12	1.5e-09	 -	Q6AB10
BtRhaR|O05261	O05261	HTH_11	8600.0	HTH domain	AAT82056.1	51	92	1.9e-06	3.1e-08	4.8e-06	 -	Q6AB10
BtRhaR|O05261	O05261	DeoRC	2.2e-54	DeoR C terminal sensor domain	AAT84030.1	85	240	3.5e-47	1.4e-49	5.5e-47	 -	Q6A5D3
BtRhaR|O05261	O05261	HTH_DeoR	2.4e-17	DeoR-like helix-turn-helix domain	AAT84030.1	15	67	9.1e-14	7.3e-16	1.7e-13	 -	Q6A5D3
BtRhaR|O05261	O05261	HTH_11	8600.0	HTH domain	AAT84030.1	15	57	6.6e-07	7.7e-09	1.2e-06	 -	Q6A5D3
BtRhaR|O05261	O05261	DeoRC	2.2e-54	DeoR C terminal sensor domain	AAT82762.1	84	241	3.2e-42	1e-44	3.9999999999999995e-42	 -	Q6A904
BtRhaR|O05261	O05261	HTH_DeoR	2.4e-17	DeoR-like helix-turn-helix domain	AAT82762.1	15	67	4e-13	4.8e-15	1.1e-12	 -	Q6A904
BtRhaR|O05261	O05261	HTH_11	8600.0	HTH domain	AAT82762.1	18	61	6.4e-06	1.7e-07	2.6e-05	 -	Q6A904
BtRhaR|O05261	O05261	HTH_11	8600.0	HTH domain	AAT82762.1	249	259	6.4e-06	3.0	460.0	 -	Q6A904
BxmR|Q76L30	Q76L30	HTH_5	6.3e-17	Bacterial regulatory protein, arsR family	AAT83921.1	11	54	0.00025	3.2e-06	0.0015	 -	Q6A5P2
BxmR|Q76L30	Q76L30	HTH_5	6.3e-17	Bacterial regulatory protein, arsR family	AAT83921.1	102	113	0.00025	0.38	170.0	 -	Q6A5P2
BxmR|Q76L30	Q76L30	HTH_5	6.3e-17	Bacterial regulatory protein, arsR family	AAT83958.1	63	104	4.4e-06	2.2e-08	1e-05	 -	Q6A5K5
BxmR|Q76L30	Q76L30	HTH_5	6.3e-17	Bacterial regulatory protein, arsR family	AAT82978.1	28	73	8.5e-14	3.1e-16	1.4e-13	 -	Q6A8D7
BxmR|Q76L30	Q76L30	HTH_5	6.3e-17	Bacterial regulatory protein, arsR family	AAT81851.1	26	63	4.1e-06	1.8e-08	8.2e-06	 -	Q6ABN1
BxmR|Q76L30	Q76L30	HTH_5	6.3e-17	Bacterial regulatory protein, arsR family	AAT83295.1	27	74	8.9e-11	3.6e-13	1.6e-10	 -	Q6A7H0
CadC|P20047	P20047	HTH_5	5.6e-16	Bacterial regulatory protein, arsR family	AAT83921.1	11	54	0.00025	3.2e-06	0.0015	 -	Q6A5P2
CadC|P20047	P20047	HTH_5	5.6e-16	Bacterial regulatory protein, arsR family	AAT83921.1	102	113	0.00025	0.38	170.0	 -	Q6A5P2
CadC|P20047	P20047	HTH_5	5.6e-16	Bacterial regulatory protein, arsR family	AAT83958.1	63	104	4.4e-06	2.2e-08	1e-05	 -	Q6A5K5
CadC|P20047	P20047	HTH_5	5.6e-16	Bacterial regulatory protein, arsR family	AAT82978.1	28	73	8.5e-14	3.1e-16	1.4e-13	 -	Q6A8D7
CadC|P20047	P20047	HTH_5	5.6e-16	Bacterial regulatory protein, arsR family	AAT81851.1	26	63	4.1e-06	1.8e-08	8.2e-06	 -	Q6ABN1
CadC|P20047	P20047	HTH_5	5.6e-16	Bacterial regulatory protein, arsR family	AAT83295.1	27	74	8.9e-11	3.6e-13	1.6e-10	 -	Q6A7H0
CadR|Q93TP7	Q93TP7	MerR_1	2e-20	MerR HTH family regulatory protein	AAT82832.1	22	78	5.6e-13	4.5e-13	2.6e-10	 -	Q6A8T4
CadR|Q93TP7	Q93TP7	MerR_1	2e-20	MerR HTH family regulatory protein	AAT82832.1	125	179	5.6e-13	0.0019	1.1	 -	Q6A8T4
CadR|Q93TP7	Q93TP7	MerR_1	2e-20	MerR HTH family regulatory protein	AAT82256.1	12	45	0.00014	5.4e-07	0.00031	 -	Q6AAG0
CadR|Q93TP7	Q93TP7	MerR_1	2e-20	MerR HTH family regulatory protein	AAT82256.1	111	121	0.00014	1.6	920.0	 -	Q6AAG0
CadR|Q93TP7	Q93TP7	MerR_1	2e-20	MerR HTH family regulatory protein	AAT83750.1	26	92	6.9e-18	2.2e-20	1.2e-17	 -	Q6A663
CadR|Q93TP7	Q93TP7	MerR_1	2e-20	MerR HTH family regulatory protein	AAT83750.1	95	111	6.9e-18	2.3	1300.0	 -	Q6A663
CadR|Q93TP7	Q93TP7	MerR_1	2e-20	MerR HTH family regulatory protein	AAT82834.1	45	109	1.2e-15	3.3e-18	1.9e-15	 -	Q6A8T2
CamR|Q51597	Q51597	TetR_N	1e-10	Bacterial regulatory proteins, tetR family	AAT82786.1	24	70	1.1e-09	1.4e-11	2.7e-09	 -	Q6A8Y0
CamR|Q51597	Q51597	TetR_N	1e-10	Bacterial regulatory proteins, tetR family	AAT82954.1	17	62	2.7e-12	4.8e-14	9.3e-12	 -	Q6A8G1
CamR|Q51597	Q51597	TetR_N	1e-10	Bacterial regulatory proteins, tetR family	AAT82954.1	129	143	2.7e-12	1.6	300.0	 -	Q6A8G1
CamR|Q51597	Q51597	TetR_N	1e-10	Bacterial regulatory proteins, tetR family	AAT83787.1	23	57	1.3e-08	1.4e-10	2.6e-08	 -	Q6A626
CamR|Q51597	Q51597	TetR_N	1e-10	Bacterial regulatory proteins, tetR family	AAT83157.1	25	69	1.3e-10	1e-12	1.9e-10	 -	Q6A7V8
CamR|Q51597	Q51597	TetR_N	1e-10	Bacterial regulatory proteins, tetR family	AAT82282.1	27	71	1.5e-18	1.5e-20	2.8e-18	 -	Q6AAD4
CamR|Q51597	Q51597	TetR_N	1e-10	Bacterial regulatory proteins, tetR family	AAT82586.1	13	55	8.5e-15	8.1e-17	1.6e-14	 -	Q6A9I0
CamR|Q51597	Q51597	TetR_N	1e-10	Bacterial regulatory proteins, tetR family	AAT82391.1	16	62	7e-07	7.3e-09	1.4e-06	 -	Q6AA25
CamR|Q51597	Q51597	TetR_N	1e-10	Bacterial regulatory proteins, tetR family	AAT81830.1	84	124	1.7e-13	1.9e-15	3.6e-13	 -	Q6ABN5
CamR|Q51597	Q51597	TetR_N	1e-10	Bacterial regulatory proteins, tetR family	AAT82922.1	25	71	7.3e-13	5.3e-15	1e-12	 -	Q6A8J3
CamR|Q51597	Q51597	TetR_N	1e-10	Bacterial regulatory proteins, tetR family	AAT82922.1	192	201	7.3e-13	5.3	1000.0	 -	Q6A8J3
CamR|Q51597	Q51597	TetR_N	1e-10	Bacterial regulatory proteins, tetR family	AAT83962.1	25	69	6.3e-09	9.1e-11	1.7e-08	 -	Q6A5K1
CamR|Q51597	Q51597	TetR_N	1e-10	Bacterial regulatory proteins, tetR family	AAT82597.1	2	24	0.00095	1.3e-05	0.0025	 -	Q6A9G9
CamR|Q51597	Q51597	TetR_N	1e-10	Bacterial regulatory proteins, tetR family	AAT82597.1	38	43	0.00095	2.0	380.0	 -	Q6A9G9
CamR|Q51597	Q51597	TetR_N	1e-10	Bacterial regulatory proteins, tetR family	AAT84034.1	8	32	0.00045	5e-06	0.00097	 -	Q6A5C9
CarR|Q8NLF4	Q8NLF4	MarR	1e-12	MarR family	AAT81844.1	29	63	0.00053	6.6e-06	0.0011	 -	Q6ABP0
CarR|Q8NLF4	Q8NLF4	MarR	1e-12	MarR family	AAT82281.1	45	55	8.2e-11	1.3	210.0	 -	Q6AAD5
CarR|Q8NLF4	Q8NLF4	MarR	1e-12	MarR family	AAT82281.1	69	126	8.2e-11	2.1e-12	3.5e-10	 -	Q6AAD5
CarR|Q8NLF4	Q8NLF4	MarR	1e-12	MarR family	AAT83229.1	5	40	0.00012	9.4e-06	0.0016	 -	Q6A7N6
CarR|Q8NLF4	Q8NLF4	MarR	1e-12	MarR family	AAT83229.1	96	122	0.00012	0.26	43.0	 -	Q6A7N6
CarR|Q8NLF4	Q8NLF4	MarR	1e-12	MarR family	AAT82432.1	26	58	3.1e-05	3.6e-07	6e-05	 -	Q6A9Y4
CarR|Q8NLF4	Q8NLF4	MarR	1e-12	MarR family	AAT82149.1	17	58	3.7e-07	1.2e-08	2e-06	 -	Q6AAR7
CarR|Q8NLF4	Q8NLF4	MarR	1e-12	MarR family	AAT82149.1	606	624	3.7e-07	2.1	340.0	 -	Q6AAR7
CarR|Q8NLF4	Q8NLF4	MarR	1e-12	MarR family	AAT83958.1	55	113	3.2e-10	4.4e-12	7.2e-10	 -	Q6A5K5
CarR|Q8NLF4	Q8NLF4	MarR	1e-12	MarR family	AAT83958.1	158	169	3.2e-10	9.6	1600.0	 -	Q6A5K5
CarR|Q8NLF4	Q8NLF4	MarR	1e-12	MarR family	AAT83295.1	30	76	1.2e-06	1.2e-08	2e-06	 -	Q6A7H0
CarR|Q8NLF4	Q8NLF4	MarR	1e-12	MarR family	AAT82969.1	18	63	1.4e-06	1.5e-08	2.4e-06	 -	Q6A8E6
CarR|Q8NLF4	Q8NLF4	MarR	1e-12	MarR family	AAT82978.1	40	73	3.4e-05	3.8e-07	6.2e-05	 -	Q6A8D7
CarR|Q8NLF4	Q8NLF4	MarR	1e-12	MarR family	AAT83370.1	71	127	2e-10	2.5e-12	4e-10	 -	Q6A795
CarR|Q8NLF4	Q8NLF4	MarR	1e-12	MarR family	AAT83955.1	50	105	4.1e-13	5.5e-15	9.1e-13	 -	Q6A5K8
CarR|Q8NLF4	Q8NLF4	MarR	1e-12	MarR family	AAT82633.1	26	83	2.4e-08	2.9e-10	4.7e-08	 -	Q6A9D3
CarR|Q8NLF4	Q8NLF4	MarR	1e-12	MarR family	AAT82334.1	22	38	4.2e-14	3.1	510.0	 -	Q6AA82
CarR|Q8NLF4	Q8NLF4	MarR	1e-12	MarR family	AAT82334.1	98	155	4.2e-14	8.6e-16	1.4e-13	 -	Q6AA82
CarR|Q8NLF4	Q8NLF4	MarR	1e-12	MarR family	AAT82762.1	18	63	0.00014	3.9e-06	0.00064	 -	Q6A904
CarR|Q8NLF4	Q8NLF4	MarR	1e-12	MarR family	AAT82762.1	112	121	0.00014	2.8	460.0	 -	Q6A904
CarR_Ecc|Q46751	Q46751	GerE	6.2e-15	Bacterial regulatory proteins, luxR family	AAT82167.1	145	200	6.9e-13	2.7e-15	1e-12	 -	Q6AAP9
CarR_Ecc|Q46751	Q46751	GerE	6.2e-15	Bacterial regulatory proteins, luxR family	AAT82700.1	157	209	7.5e-13	3.5e-15	1.3e-12	 -	Q6A966
CarR_Ecc|Q46751	Q46751	GerE	6.2e-15	Bacterial regulatory proteins, luxR family	AAT82679.1	149	204	2.9e-18	1.2e-20	4.7e-18	 -	Q6A987
CarR_Ecc|Q46751	Q46751	GerE	6.2e-15	Bacterial regulatory proteins, luxR family	AAT83742.1	159	213	4.5e-19	1.8e-21	6.7e-19	 -	Q6A671
CarR_Ecc|Q46751	Q46751	GerE	6.2e-15	Bacterial regulatory proteins, luxR family	AAT81814.1	156	212	2.6e-18	1e-20	3.9e-18	 -	Q6ABR9
CarR_Ecc|Q46751	Q46751	GerE	6.2e-15	Bacterial regulatory proteins, luxR family	AAT82047.1	155	209	3.6e-18	1.4e-20	5.5e-18	 -	Q6AB19
CatM|P07774	P07774	LysR_substrate	8.7e-35	LysR substrate binding domain	AAT83707.1	92	293	1.5e-42	2.1e-45	2.4e-42	 -	Q6A6A6
CatM|P07774	P07774	HTH_1	4.2e-22	Bacterial regulatory helix-turn-helix protein, ...	AAT83707.1	3	62	1.9e-20	3.6e-23	4.2e-20	 -	Q6A6A6
CbaR|Q9FCY4	Q9FCY4	MarR_2	2e-09	MarR family	AAT81984.1	180	217	4.7e-05	1.7e-06	0.00016	 -	Q6AB82
CbaR|Q9FCY4	Q9FCY4	HTH_Crp_2	7.8	Crp-like helix-turn-helix domain	AAT81984.1	156	229	2.4e-16	2.1e-18	4.9e-16	 -	Q6AB82
CbaR|Q9FCY4	Q9FCY4	MarR_2	2e-09	MarR family	AAT82432.1	28	60	1.3e-06	3.4e-08	3.1e-06	 -	Q6A9Y4
CbaR|Q9FCY4	Q9FCY4	HTH_Crp_2	7.8	Crp-like helix-turn-helix domain	AAT82432.1	22	58	0.00015	1.8e-06	0.0004	 -	Q6A9Y4
CbaR|Q9FCY4	Q9FCY4	HTH_Crp_2	7.8	Crp-like helix-turn-helix domain	AAT82432.1	80	89	0.00015	2.8	640.0	 -	Q6A9Y4
CbaR|Q9FCY4	Q9FCY4	MarR_2	2e-09	MarR family	AAT84012.1	21	52	0.0001	2.7e-06	0.00024	 -	Q6A5F1
CbaR|Q9FCY4	Q9FCY4	HTH_Crp_2	7.8	Crp-like helix-turn-helix domain	AAT84012.1	21	50	3.9e-06	3.8e-08	8.7e-06	 -	Q6A5F1
CbaR|Q9FCY4	Q9FCY4	MarR_2	2e-09	MarR family	AAT83958.1	54	113	1.6e-10	3.3e-12	3e-10	 -	Q6A5K5
CbaR|Q9FCY4	Q9FCY4	HTH_Crp_2	7.8	Crp-like helix-turn-helix domain	AAT83958.1	63	106	2.4e-05	6.1e-07	0.00014	 -	Q6A5K5
CbaR|Q9FCY4	Q9FCY4	HTH_Crp_2	7.8	Crp-like helix-turn-helix domain	AAT83958.1	158	171	2.4e-05	0.75	170.0	 -	Q6A5K5
CbaR|Q9FCY4	Q9FCY4	MarR_2	2e-09	MarR family	AAT83295.1	32	75	1.2e-09	3.7e-11	3.4e-09	 -	Q6A7H0
CbaR|Q9FCY4	Q9FCY4	MarR_2	2e-09	MarR family	AAT83295.1	113	126	1.2e-09	7.9	730.0	 -	Q6A7H0
CbaR|Q9FCY4	Q9FCY4	MarR_2	2e-09	MarR family	AAT83295.1	156	168	1.2e-09	6.2	570.0	 -	Q6A7H0
CbaR|Q9FCY4	Q9FCY4	HTH_Crp_2	7.8	Crp-like helix-turn-helix domain	AAT83295.1	42	76	1.2e-05	2.8e-07	6.5e-05	 -	Q6A7H0
CbaR|Q9FCY4	Q9FCY4	HTH_Crp_2	7.8	Crp-like helix-turn-helix domain	AAT83295.1	228	242	1.2e-05	1.1	250.0	 -	Q6A7H0
CbaR|Q9FCY4	Q9FCY4	MarR_2	2e-09	MarR family	AAT82207.1	50	77	4.1e-05	1.2e-06	0.00011	 -	Q6AAK9
CbaR|Q9FCY4	Q9FCY4	HTH_Crp_2	7.8	Crp-like helix-turn-helix domain	AAT82207.1	49	79	0.00085	1.4e-05	0.0032	 -	Q6AAK9
CbaR|Q9FCY4	Q9FCY4	HTH_Crp_2	7.8	Crp-like helix-turn-helix domain	AAT82207.1	141	171	0.00085	2.0	450.0	 -	Q6AAK9
CbaR|Q9FCY4	Q9FCY4	MarR_2	2e-09	MarR family	AAT82634.1	22	54	6.6e-06	2e-07	1.8e-05	 -	Q6A9D2
CbaR|Q9FCY4	Q9FCY4	HTH_Crp_2	7.8	Crp-like helix-turn-helix domain	AAT82634.1	22	54	2.5e-06	2.8e-08	6.5e-06	 -	Q6A9D2
CbCodY|C1FSK6	C1FSK6	HTH_CodY	2.0000000000000002e-29	CodY helix-turn-helix domain	AAT83295.1	41	76	0.00034	3.1e-07	0.00071	 -	Q6A7H0
CbCodY|C1FSK6	C1FSK6	HTH_CodY	2.0000000000000002e-29	CodY helix-turn-helix domain	AAT83295.1	111	120	0.00034	0.64	1500.0	 -	Q6A7H0
Cbl|Q47083	Q47083	HTH_1	1.4e-12	Bacterial regulatory helix-turn-helix protein, ...	AAT83707.1	3	62	1.9e-20	3.6e-23	4.2e-20	 -	Q6A6A6
Cbl|Q47083	Q47083	LysR_substrate	1e-42	LysR substrate binding domain	AAT83707.1	92	293	1.5e-42	2.1e-45	2.4e-42	 -	Q6A6A6
CbnR|Q9WXC7	Q9WXC7	HTH_1	1.2e-22	Bacterial regulatory helix-turn-helix protein, ...	AAT83707.1	3	62	1.9e-20	3.6e-23	4.2e-20	 -	Q6A6A6
CbnR|Q9WXC7	Q9WXC7	LysR_substrate	1.5999999999999999e-31	LysR substrate binding domain	AAT83707.1	92	293	1.5e-42	2.1e-45	2.4e-42	 -	Q6A6A6
CcmR_NdhR_RbcR|P73862	P73862	LysR_substrate	1.2e-49	LysR substrate binding domain	AAT83707.1	92	293	1.5e-42	2.1e-45	2.4e-42	 -	Q6A6A6
CcmR_NdhR_RbcR|P73862	P73862	HTH_1	7.900000000000002e-22	Bacterial regulatory helix-turn-helix protein, ...	AAT83707.1	3	62	1.9e-20	3.6e-23	4.2e-20	 -	Q6A6A6
CcpC|A0A063XF45	A0A063XF45	LysR_substrate	5.6e-36	LysR substrate binding domain	AAT83707.1	92	293	1.5e-42	2.1e-45	2.4e-42	 -	Q6A6A6
CcpC|A0A063XF45	A0A063XF45	HTH_1	3e-16	Bacterial regulatory helix-turn-helix protein, ...	AAT83707.1	3	62	1.9e-20	3.6e-23	4.2e-20	 -	Q6A6A6
CcpE|A0A0H3KEX5	A0A0H3KEX5	LysR_substrate	7.5e-25	LysR substrate binding domain	AAT83707.1	92	293	1.5e-42	2.1e-45	2.4e-42	 -	Q6A6A6
CcpE|A0A0H3KEX5	A0A0H3KEX5	HTH_1	1.5e-14	Bacterial regulatory helix-turn-helix protein, ...	AAT83707.1	3	62	1.9e-20	3.6e-23	4.2e-20	 -	Q6A6A6
CdCodY|A0A0H3NAG3	A0A0H3NAG3	HTH_CodY	8.800000000000002e-30	CodY helix-turn-helix domain	AAT83295.1	41	76	0.00034	3.1e-07	0.00071	 -	Q6A7H0
CdCodY|A0A0H3NAG3	A0A0H3NAG3	HTH_CodY	8.800000000000002e-30	CodY helix-turn-helix domain	AAT83295.1	111	120	0.00034	0.64	1500.0	 -	Q6A7H0
CggR|A0A6M3ZGQ5	A0A6M3ZGQ5	Sugar-bind	3.8e-80	Putative sugar-binding domain	AAT82965.1	129	377	5.2000000000000004e-30	1.1e-32	6.5e-30	 -	Q6A8F0
CggR|A0A6M3ZGQ5	A0A6M3ZGQ5	Sugar-bind	3.8e-80	Putative sugar-binding domain	AAT84012.1	17	32	5.9e-54	0.23	130.0	 -	Q6A5F1
CggR|A0A6M3ZGQ5	A0A6M3ZGQ5	Sugar-bind	3.8e-80	Putative sugar-binding domain	AAT84012.1	63	312	5.9e-54	2.6e-56	1.4999999999999999e-53	 -	Q6A5F1
CggR|A0A6M3ZGQ5	A0A6M3ZGQ5	Sugar-bind	3.8e-80	Putative sugar-binding domain	AAT82228.1	9	213	7e-06	3.7e-08	2.1e-05	 -	Q6AAI8
CggR|A0A6M3ZGQ5	A0A6M3ZGQ5	Sugar-bind	3.8e-80	Putative sugar-binding domain	AAT82634.1	58	310	2.1e-56	4.6000000000000005e-59	2.7e-56	 -	Q6A9D2
ChbR|P17410	P17410	Cupin_2	6e-08	Cupin domain	AAT81771.1	152	173	0.00087	1.7	1300.0	 -	Q6ABL0
ChbR|P17410	P17410	Cupin_2	6e-08	Cupin domain	AAT81771.1	239	259	0.00087	0.041	31.0	 -	Q6ABL0
ChbR|P17410	P17410	Cupin_2	6e-08	Cupin domain	AAT81771.1	344	375	0.00087	3.3e-05	0.026	 -	Q6ABL0
ChbR|P17410	P17410	Cupin_2	6e-08	Cupin domain	AAT83226.1	40	106	6.4e-08	1e-10	8e-08	 -	Q6A7N9
ChbR|P17410	P17410	Cupin_2	6e-08	Cupin domain	AAT83912.1	210	279	8.1e-15	1.8e-17	1.4e-14	 -	Q6A5Q1
ChvI|P50350	P50350	Response_reg	6.4000000000000005e-28	Response regulator receiver domain	AAT83756.1	20	129	1.7e-25	1.4e-27	2.5e-25	 -	Q6A657
ChvI|P50350	P50350	Trans_reg_C	5.2e-22	Transcriptional regulatory protein, C terminal	AAT83756.1	113	137	8.2e-29	0.04	15.0	 -	Q6A657
ChvI|P50350	P50350	Trans_reg_C	5.2e-22	Transcriptional regulatory protein, C terminal	AAT83756.1	165	239	8.2e-29	7.8e-30	3e-27	 -	Q6A657
ChvI|P50350	P50350	Response_reg	6.4000000000000005e-28	Response regulator receiver domain	AAT83087.1	10	119	4.1e-29	3.5e-31	6.199999999999999e-29	 -	Q6A828
ChvI|P50350	P50350	Trans_reg_C	5.2e-22	Transcriptional regulatory protein, C terminal	AAT83087.1	115	125	5.2e-27	1.0	390.0	 -	Q6A828
ChvI|P50350	P50350	Trans_reg_C	5.2e-22	Transcriptional regulatory protein, C terminal	AAT83087.1	153	229	5.2e-27	1.4999999999999998e-29	5.7000000000000004e-27	 -	Q6A828
ChvI|P50350	P50350	Response_reg	6.4000000000000005e-28	Response regulator receiver domain	AAT82114.1	4	113	2.0000000000000002e-29	1.5999999999999999e-31	2.8999999999999997e-29	 -	Q6AAV2
ChvI|P50350	P50350	Trans_reg_C	5.2e-22	Transcriptional regulatory protein, C terminal	AAT82114.1	149	224	4.1e-29	2e-31	7.6e-29	 -	Q6AAV2
ChvI|P50350	P50350	Response_reg	6.4000000000000005e-28	Response regulator receiver domain	AAT81879.1	3	112	1.5000000000000002e-28	1.7e-30	2.9e-28	 -	Q6ABI8
ChvI|P50350	P50350	Trans_reg_C	5.2e-22	Transcriptional regulatory protein, C terminal	AAT81879.1	148	223	3e-23	1.8e-25	6.8e-23	 -	Q6ABI8
ChvI|P50350	P50350	Response_reg	6.4000000000000005e-28	Response regulator receiver domain	AAT83819.1	5	114	1.3000000000000001e-33	9.4e-36	1.7e-33	 -	Q6A5Z4
ChvI|P50350	P50350	Trans_reg_C	5.2e-22	Transcriptional regulatory protein, C terminal	AAT83819.1	102	116	6.499999999999999e-24	2.2	840.0	 -	Q6A5Z4
ChvI|P50350	P50350	Trans_reg_C	5.2e-22	Transcriptional regulatory protein, C terminal	AAT83819.1	153	227	6.499999999999999e-24	4.9e-26	1.9e-23	 -	Q6A5Z4
CiaR|Q8DU28	Q8DU28	Response_reg	7.6e-22	Response regulator receiver domain	AAT83756.1	20	129	1.7e-25	1.4e-27	2.5e-25	 -	Q6A657
CiaR|Q8DU28	Q8DU28	Trans_reg_C	3.6e-19	Transcriptional regulatory protein, C terminal	AAT83756.1	113	137	8.2e-29	0.04	15.0	 -	Q6A657
CiaR|Q8DU28	Q8DU28	Trans_reg_C	3.6e-19	Transcriptional regulatory protein, C terminal	AAT83756.1	165	239	8.2e-29	7.8e-30	3e-27	 -	Q6A657
CiaR|Q8DU28	Q8DU28	Response_reg	7.6e-22	Response regulator receiver domain	AAT83087.1	10	119	4.1e-29	3.5e-31	6.199999999999999e-29	 -	Q6A828
CiaR|Q8DU28	Q8DU28	Trans_reg_C	3.6e-19	Transcriptional regulatory protein, C terminal	AAT83087.1	115	125	5.2e-27	1.0	390.0	 -	Q6A828
CiaR|Q8DU28	Q8DU28	Trans_reg_C	3.6e-19	Transcriptional regulatory protein, C terminal	AAT83087.1	153	229	5.2e-27	1.4999999999999998e-29	5.7000000000000004e-27	 -	Q6A828
CiaR|Q8DU28	Q8DU28	Response_reg	7.6e-22	Response regulator receiver domain	AAT82114.1	4	113	2.0000000000000002e-29	1.5999999999999999e-31	2.8999999999999997e-29	 -	Q6AAV2
CiaR|Q8DU28	Q8DU28	Trans_reg_C	3.6e-19	Transcriptional regulatory protein, C terminal	AAT82114.1	149	224	4.1e-29	2e-31	7.6e-29	 -	Q6AAV2
CiaR|Q8DU28	Q8DU28	Response_reg	7.6e-22	Response regulator receiver domain	AAT81879.1	3	112	1.5000000000000002e-28	1.7e-30	2.9e-28	 -	Q6ABI8
CiaR|Q8DU28	Q8DU28	Trans_reg_C	3.6e-19	Transcriptional regulatory protein, C terminal	AAT81879.1	148	223	3e-23	1.8e-25	6.8e-23	 -	Q6ABI8
CiaR|Q8DU28	Q8DU28	Response_reg	7.6e-22	Response regulator receiver domain	AAT83819.1	5	114	1.3000000000000001e-33	9.4e-36	1.7e-33	 -	Q6A5Z4
CiaR|Q8DU28	Q8DU28	Trans_reg_C	3.6e-19	Transcriptional regulatory protein, C terminal	AAT83819.1	102	116	6.499999999999999e-24	2.2	840.0	 -	Q6A5Z4
CiaR|Q8DU28	Q8DU28	Trans_reg_C	3.6e-19	Transcriptional regulatory protein, C terminal	AAT83819.1	153	227	6.499999999999999e-24	4.9e-26	1.9e-23	 -	Q6A5Z4
CifR|Q9HZR6	Q9HZR6	TetR_N	9.2e-10	Bacterial regulatory proteins, tetR family	AAT81830.1	84	124	1.7e-13	1.9e-15	3.6e-13	 -	Q6ABN5
CifR|Q9HZR6	Q9HZR6	TetR_C_6	7.2e-06	BetI-type transcriptional repressor, C-terminal	AAT81830.1	73	91	0.00043	0.45	510.0	 -	Q6ABN5
CifR|Q9HZR6	Q9HZR6	TetR_C_6	7.2e-06	BetI-type transcriptional repressor, C-terminal	AAT81830.1	155	260	0.00043	3.7e-07	0.00043	 -	Q6ABN5
CifR|Q9HZR6	Q9HZR6	TetR_N	9.2e-10	Bacterial regulatory proteins, tetR family	AAT82954.1	17	62	2.7e-12	4.8e-14	9.3e-12	 -	Q6A8G1
CifR|Q9HZR6	Q9HZR6	TetR_N	9.2e-10	Bacterial regulatory proteins, tetR family	AAT82954.1	129	143	2.7e-12	1.6	300.0	 -	Q6A8G1
CifR|Q9HZR6	Q9HZR6	TetR_C_6	7.2e-06	BetI-type transcriptional repressor, C-terminal	AAT82954.1	113	205	0.00071	1.2e-06	0.0014	 -	Q6A8G1
CinR|P94314	P94314	MarR	1.4e-09	MarR family	AAT82432.1	26	58	3.1e-05	3.6e-07	6e-05	 -	Q6A9Y4
CinR|P94314	P94314	MarR_2	11000.0	MarR family	AAT82432.1	28	60	1.3e-06	3.4e-08	3.1e-06	 -	Q6A9Y4
