identifier_target_name	identifier_target_accession	identifier_target_length	identifier_query_name	identifier_query_accession	identifier_query_length	full_sequence_e-value	full_sequence_score	full_sequence_bias	this_domain_domain_number	this_domain_total_domains	this_domain_e-value	this_domain_i-value	this_domain_score	this_domain_bias	hmm_coord_from	hmm_coord_to	ali_coord_from	ali_coord_to	env_coord_from	env_coord_to	identifier_acc	identifier_query_description
HTH_1	PF00126.30	60	sp|P04681|NODD_RHILV	-	303	2.4e-13	49.9	0.1	1	1	4.2e-17	4.1e-13	49.2	0.1	1	60	8	67	8	67	0.96	Bacterial regulatory helix-turn-helix protein, lysR family
LysR_substrate	PF03466.23	209	sp|P04681|NODD_RHILV	-	303	3.6e-13	49.5	0.6	2	2	3.7e-17	3.6e-13	49.5	0.6	3	191	94	281	92	298	0.89	LysR substrate binding domain
Trns_repr_metal	PF02583.20	77	sp|P64530|RCNR_ECOLI	-	90	1.1e-19	70.7	3.1	1	1	6.2e-24	1.2e-19	70.5	3.1	1	76	7	86	7	87	0.90	Metal-sensitive transcriptional repressor
NikR_C	PF08753.14	77	sp|O58316|NIKR_PYRHO	-	138	1.5e-33	114.9	4.5	1	1	3.4e-37	2.2e-33	114.3	4.5	1	77	55	131	55	131	0.99	NikR C terminal nickel binding domain
RHH_1	PF01402.24	39	sp|O58316|NIKR_PYRHO	-	138	7.2e-09	35.4	0.3	1	1	2.1e-12	1.4e-08	34.5	0.3	1	38	5	43	5	44	0.96	Ribbon-helix-helix protein, copG family
TetR_C_2	PF08361.14	121	tr|Q87X86|Q87X86_PSESM	-	223	6.1e-36	123.3	0.0	1	1	1.6e-39	1.1e-35	122.5	0.0	1	121	84	204	84	204	0.99	MAATS-type transcriptional repressor, C-terminal region
TetR_N	PF00440.26	47	tr|Q87X86|Q87X86_PSESM	-	223	7.4e-18	64.2	0.3	1	1	2.3e-21	1.5e-17	63.2	0.3	1	47	16	62	16	62	0.98	Bacterial regulatory proteins, tetR family
Arg_repressor	PF01316.24	70	sp|Q8GND0|ARGR_STRGC	-	156	3.5e-20	71.6	1.9	1	1	5.5e-24	5.4e-20	71.1	1.9	4	64	5	64	1	68	0.90	Arginine repressor, DNA binding domain
Arg_repressor_C	PF02863.21	68	sp|Q8GND0|ARGR_STRGC	-	156	1.1e-19	70.2	0.0	1	1	1.7e-23	1.7e-19	69.6	0.0	2	67	81	146	80	147	0.96	Arginine repressor, C-terminal domain
HTH_1	PF00126.30	60	tr|Q9WXC7|Q9WXC7_CUPNE	-	294	1.2e-22	79.7	0.4	1	2	1.2e-26	1.2e-22	79.7	0.4	1	59	3	61	3	62	0.98	Bacterial regulatory helix-turn-helix protein, lysR family
LysR_substrate	PF03466.23	209	tr|Q9WXC7|Q9WXC7_CUPNE	-	294	6.2e-32	110.8	1.1	2	2	1.7e-35	1.6e-31	109.4	0.3	2	208	87	292	86	293	0.97	LysR substrate binding domain
ATP-cone	PF03477.19	86	sp|O69980|NRDR_STRCO	-	182	2.3e-13	50.7	0.0	1	1	1.6e-17	3.2e-13	50.2	0.0	2	84	47	132	46	134	0.97	ATP cone domain
CoA_binding	PF02629.22	96	sp|Q9WY16|REX1_THEMA	-	208	2e-23	83.0	0.6	1	1	8.6e-27	3.4e-23	82.3	0.6	2	96	81	179	80	179	0.96	CoA binding domain
Put_DNA-bind_N	PF06971.16	49	sp|Q9WY16|REX1_THEMA	-	208	7.1e-20	71.0	1.6	1	2	2.2e-23	8.5e-20	70.7	0.5	1	49	4	52	4	52	0.99	Putative DNA-binding protein N-terminus
PAS_4	PF08448.13	110	tr|A0A0F0AZW0|A0A0F0AZW0_VIBCL	-	246	1.2e-23	83.6	0.0	1	1	2.7e-27	1.8e-23	83.0	0.0	1	108	13	124	13	126	0.97	PAS fold
GerE	PF00196.22	57	tr|A0A0F0AZW0|A0A0F0AZW0_VIBCL	-	246	5.4e-12	45.2	0.0	1	1	1.3e-15	8.2e-12	44.7	0.0	3	57	156	210	154	210	0.98	Bacterial regulatory proteins, luxR family
Peripla_BP_3	PF13377.9	166	tr|C4B4W0|C4B4W0_CORGT	-	348	1.3e-35	123.2	0.5	1	2	1	4.9e+03	-2.3	0.1	46	46	60	60	22	107	0.64	Periplasmic binding protein-like domain
LacI	PF00356.24	46	tr|C4B4W0|C4B4W0_CORGT	-	348	7.7e-16	57.7	1.6	1	2	2.3e-19	1.1e-15	57.2	0.3	1	46	14	59	14	59	0.98	Bacterial regulatory proteins, lacI family
Peripla_BP_3	PF13377.9	166	tr|C4B4W0|C4B4W0_CORGT	-	348	1.3e-35	123.2	0.5	2	2	5.5e-39	2.7e-35	122.2	0.1	1	166	181	339	181	339	0.88	Periplasmic binding protein-like domain
Peripla_BP_1	PF00532.24	279	sp|P77615|YCJW_ECOLI	-	332	1.7e-23	83.6	0.1	2	2	8.3e-27	3.2e-23	82.7	0.1	13	267	77	321	70	330	0.88	Periplasmic binding proteins and sugar binding domain of LacI family
LacI	PF00356.24	46	sp|P77615|YCJW_ECOLI	-	332	1.9e-21	75.7	0.3	1	1	8.7e-25	3.4e-21	74.9	0.3	1	46	4	49	4	49	0.99	Bacterial regulatory proteins, lacI family
DeoRC	PF00455.25	160	sp|O05261|YULB_BACSU	-	258	1.6e-54	184.3	0.2	1	1	4.4e-58	2.2e-54	183.9	0.2	2	160	75	232	74	232	0.99	DeoR C terminal sensor domain
HTH_DeoR	PF08220.15	57	sp|O05261|YULB_BACSU	-	258	1.4e-17	63.3	0.8	1	1	5e-21	2.4e-17	62.5	0.8	1	56	6	61	6	62	0.98	DeoR-like helix-turn-helix domain
HTH_11	PF08279.15	55	sp|O05261|YULB_BACSU	-	258	1.5e-06	28.1	1.3	2	2	1.8	8.6e+03	-3.1	0.0	36	50	239	253	239	253	0.81	HTH domain
HTH_18	PF12833.10	81	tr|A0A448J6P9|A0A448J6P9_NEIGO	-	301	5.2e-23	81.2	0.2	1	1	2.1e-26	8.3e-23	80.6	0.2	2	80	219	296	218	297	0.96	Helix-turn-helix domain
Cupin_6	PF12852.10	184	tr|A0A448J6P9|A0A448J6P9_NEIGO	-	301	1.3e-21	77.3	0.1	1	1	4.4e-25	1.7e-21	76.9	0.1	1	184	2	179	2	179	0.84	Cupin
MarR_2	PF12802.10	61	tr|A0A1I9GEQ7|A0A1I9GEQ7_9CHLR	-	114	1.5e-05	25.1	0.0	1	1	5.3e-09	2.6e-05	24.3	0.0	21	55	7	41	3	46	0.88	MarR family
HTH_Crp_2	PF13545.9	68	tr|A0A1I9GEQ7|A0A1I9GEQ7_9CHLR	-	114	0.00058	19.9	0.4	2	2	0.002	9.8	6.4	0.2	17	49	65	97	46	106	0.81	Crp-like helix-turn-helix domain
FadR_C	PF07840.15	164	tr|D0X078|D0X078_VIBAL	-	279	5.5e-70	234.6	1.9	1	1	1.4e-73	6.9e-70	234.3	1.9	1	163	72	274	72	275	0.99	FadR C-terminal domain
GntR	PF00392.24	64	tr|D0X078|D0X078_VIBAL	-	279	1.9e-20	72.4	0.0	1	1	7.4e-24	3.6e-20	71.5	0.0	5	64	12	71	8	71	0.95	Bacterial regulatory proteins, gntR family
BPL_LplA_LipB	PF03099.22	133	sp|P0CI75|BIRA_BACSU	-	325	2.1e-23	82.8	0.1	1	1	9.9e-27	3.9e-23	82.0	0.1	3	133	90	214	88	214	0.90	Biotin/lipoate A/B protein ligase family
HTH_11	PF08279.15	55	sp|P0CI75|BIRA_BACSU	-	325	1.6e-16	60.1	0.0	1	1	8.5e-20	3.3e-16	59.1	0.0	2	55	6	60	5	60	0.97	HTH domain
BPL_C	PF02237.20	48	sp|P0CI75|BIRA_BACSU	-	325	1.5e-11	44.1	1.7	2	2	5.5e-15	2.2e-11	43.6	0.2	6	48	284	325	279	325	0.91	Biotin protein ligase C terminal domain
MerR_1	PF13411.9	69	tr|Q8ZLM3|Q8ZLM3_SALTY	-	141	5.9e-21	74.4	0.4	1	1	1.7e-24	1.1e-20	73.6	0.4	1	67	2	69	2	70	0.97	MerR HTH family regulatory protein
HTH_24	PF13412.9	48	sp|B0R4X4|LRPA1_HALS3	-	142	4.1e-12	45.6	0.0	1	1	4.3e-15	6.5e-12	44.9	0.0	4	47	6	49	4	50	0.96	Winged helix-turn-helix DNA-binding
AsnC_trans_reg	PF01037.24	75	sp|B0R4X4|LRPA1_HALS3	-	142	1.4e-11	44.3	0.1	1	1	1.6e-14	2.4e-11	43.6	0.1	1	74	69	139	69	140	0.93	Lrp/AsnC ligand binding domain
HTH_11	PF08279.15	55	sp|B0R4X4|LRPA1_HALS3	-	142	1.4e-06	28.2	0.0	2	2	6.5	9.8e+03	-3.3	0.0	15	22	60	67	57	67	0.74	HTH domain
MarR_2	PF12802.10	61	tr|Q97YG9|Q97YG9_SACS2	-	144	6.1e-11	42.3	0.0	1	1	2.5e-14	9.9e-11	41.6	0.0	4	60	36	90	33	91	0.93	MarR family
TetR_C_20	PF17925.4	107	sp|P96856|KSTR_MYCTU	-	220	6.7e-38	129.3	1.2	1	1	1.4e-41	1.4e-37	128.4	1.2	1	107	107	213	107	213	0.99	Tetracyclin repressor-like, C-terminal domain
TetR_N	PF00440.26	47	sp|P96856|KSTR_MYCTU	-	220	4.8e-16	58.4	0.1	1	1	1.1e-19	1e-15	57.3	0.1	1	45	42	86	42	88	0.97	Bacterial regulatory proteins, tetR family
PilZ	PF07238.17	103	tr|A0A2W0ZG98|A0A2W0ZG98_KLEPN	-	234	1.8e-05	25.1	0.1	1	2	0.022	4.3e+02	1.4	0.0	43	80	53	89	46	100	0.76	PilZ domain
PilZ	PF07238.17	103	tr|A0A2W0ZG98|A0A2W0ZG98_KLEPN	-	234	1.8e-05	25.1	0.1	2	2	2.4e-08	0.00047	20.6	0.2	1	96	105	216	105	226	0.63	PilZ domain
cNMP_binding	PF00027.32	89	sp|P9WMH3|CRPL_MYCTU	-	224	4.7e-24	84.4	0.0	1	1	2.1e-27	8.3e-24	83.6	0.0	2	87	29	114	28	116	0.96	Cyclic nucleotide-binding domain
HTH_Crp_2	PF13545.9	68	sp|P9WMH3|CRPL_MYCTU	-	224	1.6e-17	63.4	2.2	2	2	4.9e-21	1.9e-17	63.1	0.8	1	67	148	221	148	222	0.87	Crp-like helix-turn-helix domain
TetR_N	PF00440.26	47	tr|P95092|P95092_MYCTO	-	202	8.8e-08	31.9	0.1	1	1	3.2e-11	2.1e-07	30.7	0.1	1	47	19	65	19	65	0.96	Bacterial regulatory proteins, tetR family
TetR_C_31	PF17940.4	107	tr|P95092|P95092_MYCTO	-	202	3.1e-09	37.1	10.8	2	2	4.7e-13	3.1e-09	37.1	10.8	4	106	88	183	85	184	0.90	Tetracyclin repressor-like, C-terminal domain
TetR_N	PF00440.26	47	tr|B5UAT4|B5UAT4_STRLA	-	221	3.9e-17	61.9	0.5	1	1	3.5e-21	6.9e-17	61.1	0.5	1	45	14	58	14	60	0.97	Bacterial regulatory proteins, tetR family
MarR	PF01047.25	59	tr|Q2T150|Q2T150_BURTA	-	144	1.6e-12	47.3	0.0	1	1	6.8e-16	2.7e-12	46.5	0.0	4	58	33	88	31	89	0.93	MarR family
LysR_substrate	PF03466.23	209	tr|A0A063XF45|A0A063XF45_BACIU	-	293	3.8e-36	124.6	0.0	1	1	8.5e-40	5.6e-36	124.0	0.0	2	208	87	287	86	288	0.97	LysR substrate binding domain
HTH_1	PF00126.30	60	tr|A0A063XF45|A0A063XF45_BACIU	-	293	1.4e-16	60.3	0.7	1	2	4.5e-20	3e-16	59.3	0.4	1	60	3	62	3	62	0.97	Bacterial regulatory helix-turn-helix protein, lysR family
HTH_5	PF01022.23	47	tr|Q72KG0|Q72KG0_THET2	-	123	5.1e-15	55.2	0.9	1	1	1.8e-18	8.9e-15	54.4	0.9	1	46	45	91	45	91	0.98	Bacterial regulatory protein, arsR family
HTH_20	PF12840.10	61	tr|Q72KG0|Q72KG0_THET2	-	123	1.4e-09	38.0	2.9	2	2	0.89	4.4e+03	-2.1	0.1	3	9	112	118	110	120	0.79	Helix-turn-helix domain
LacI	PF00356.24	46	tr|Q72KG0|Q72KG0_THET2	-	123	0.00057	19.7	0.4	1	2	1.1	5.4e+03	-2.6	0.0	32	37	18	23	12	27	0.72	Bacterial regulatory proteins, lacI family
LysR_substrate	PF03466.23	209	tr|Q8KSC7|Q8KSC7_METEX	-	329	2.5e-53	180.7	0.0	1	1	5.2e-57	3.4e-53	180.3	0.0	2	207	90	295	89	297	0.98	LysR substrate binding domain
HTH_1	PF00126.30	60	tr|Q8KSC7|Q8KSC7_METEX	-	329	3e-16	59.2	2.0	1	1	7.9e-20	5.2e-16	58.5	2.0	1	60	6	65	6	65	0.98	Bacterial regulatory helix-turn-helix protein, lysR family
Put_DNA-bind_N	PF06971.16	49	tr|A0A0N0BLT4|A0A0N0BLT4_THEAQ	-	211	1.6e-19	69.8	0.2	1	1	2.8e-23	2.8e-19	69.1	0.2	1	49	2	50	2	50	0.99	Putative DNA-binding protein N-terminus
CoA_binding	PF02629.22	96	tr|A0A0N0BLT4|A0A0N0BLT4_THEAQ	-	211	2.1e-19	70.1	0.0	1	1	3.9e-23	3.8e-19	69.3	0.0	3	96	80	174	78	174	0.95	CoA binding domain
LysR_substrate	PF03466.23	209	tr|Q03P25|Q03P25_LEVBA	-	293	1.9e-40	138.6	0.4	1	1	2.6e-44	2.6e-40	138.2	0.4	3	205	89	292	87	293	0.97	LysR substrate binding domain
HTH_1	PF00126.30	60	tr|Q03P25|Q03P25_LEVBA	-	293	1.9e-13	50.2	0.0	1	2	1.1e-16	1.1e-12	47.9	0.0	2	60	4	63	3	63	0.94	Bacterial regulatory helix-turn-helix protein, lysR family
UTRA	PF07702.16	141	tr|A0A5E7FAA4|A0A5E7FAA4_PSEFL	-	249	2.2e-35	121.7	0.2	1	1	4.6e-39	3e-35	121.3	0.2	1	140	105	241	105	242	0.99	UTRA domain
GntR	PF00392.24	64	tr|A0A5E7FAA4|A0A5E7FAA4_PSEFL	-	249	3.3e-21	74.8	0.0	1	1	1e-24	6.6e-21	73.9	0.0	1	64	21	84	21	84	0.99	Bacterial regulatory proteins, gntR family
NUDIX	PF00293.31	131	tr|Q6FDK3|Q6FDK3_ACIAD	-	250	1.1e-14	54.7	0.0	1	1	1.8e-18	1.7e-14	54.1	0.0	8	129	33	154	27	156	0.76	NUDIX domain
AraR_C	PF19368.2	82	tr|Q6FDK3|Q6FDK3_ACIAD	-	250	3.7e-09	36.8	0.0	1	1	8e-13	7.9e-09	35.8	0.0	3	69	168	232	166	239	0.85	AraR C-terminal winged HTH domain
MerR_1	PF13411.9	69	sp|Q50900|CARH_MYXXA	-	299	3.5e-16	59.2	0.1	1	1	1.1e-19	5.5e-16	58.5	0.1	1	68	6	74	6	75	0.97	MerR HTH family regulatory protein
B12-binding	PF02310.22	121	sp|Q50900|CARH_MYXXA	-	299	4.7e-14	52.6	0.0	1	1	1.9e-17	9.2e-14	51.7	0.0	2	112	182	290	181	294	0.90	B12 binding domain
IclR	PF01614.21	128	tr|E6Y2Q0|E6Y2Q0_RHIRD	-	275	4.8e-22	78.3	0.0	1	1	1.1e-25	7.3e-22	77.7	0.0	7	127	147	266	143	267	0.97	Bacterial transcriptional regulator
HTH_IclR	PF09339.13	52	tr|E6Y2Q0|E6Y2Q0_RHIRD	-	275	1e-11	44.5	2.6	1	2	1.6e-15	1e-11	44.5	2.6	1	50	28	77	28	79	0.96	IclR helix-turn-helix domain
MarR_2	PF12802.10	61	tr|E6Y2Q0|E6Y2Q0_RHIRD	-	275	5.7e-07	29.6	1.8	2	3	0.92	6e+03	-2.5	0.0	26	41	110	125	109	127	0.79	MarR family
Peripla_BP_3	PF13377.9	166	tr|A0K1X3|A0K1X3_ARTS2	-	341	2.8e-26	92.9	0.6	1	1	1.7e-29	5.5e-26	91.9	0.6	2	166	176	341	175	341	0.76	Periplasmic binding protein-like domain
LacI	PF00356.24	46	tr|A0K1X3|A0K1X3_ARTS2	-	341	3.2e-15	55.8	0.1	1	1	2.3e-18	7.4e-15	54.6	0.1	1	46	14	59	14	59	0.98	Bacterial regulatory proteins, lacI family
TetR_N	PF00440.26	47	tr|A0R6A5|A0R6A5_MYCS2	-	189	5e-15	55.2	1.8	1	2	5.5e-19	1.1e-14	54.1	1.4	4	47	27	70	25	70	0.97	Bacterial regulatory proteins, tetR family
TetR_N	PF00440.26	47	tr|A0R6A5|A0R6A5_MYCS2	-	189	5e-15	55.2	1.8	2	2	0.35	6.9e+03	-2.9	0.0	8	26	164	180	158	186	0.62	Bacterial regulatory proteins, tetR family
HTH_6	PF01418.20	77	tr|Q7MD38|Q7MD38_VIBVY	-	278	7.6e-20	70.8	0.0	1	1	2.2e-23	1.5e-19	69.9	0.0	2	76	6	80	5	81	0.97	Helix-turn-helix domain, rpiR family
SIS	PF01380.25	131	tr|Q7MD38|Q7MD38_VIBVY	-	278	7.2e-16	58.3	0.1	1	1	1.8e-19	1.2e-15	57.6	0.1	8	128	130	250	124	253	0.85	SIS domain
Fe_dep_repr_C	PF02742.18	70	tr|Q9KIJ2|Q9KIJ2_STRMG	-	217	8.7e-28	96.4	0.3	1	2	8.4e-31	2.4e-27	95.0	0.1	1	69	62	130	62	131	0.99	Iron dependent repressor, metal binding and dimerisation domain
FeoA	PF04023.17	74	tr|Q9KIJ2|Q9KIJ2_STRMG	-	217	8.9e-07	29.1	0.0	1	1	5.6e-10	1.6e-06	28.3	0.0	6	73	147	213	142	214	0.89	FeoA domain
Fe_dep_repress	PF01325.22	60	tr|Q9KIJ2|Q9KIJ2_STRMG	-	217	4.1e-15	55.8	0.9	1	1	4.4e-18	1.2e-14	54.3	0.9	3	56	2	55	1	59	0.91	Iron dependent repressor, N-terminal DNA binding domain
HTH_1	PF00126.30	60	sp|P9WMF5|LYSG_MYCTU	-	303	2.7e-17	62.6	0.4	1	3	4.1e-21	2.7e-17	62.6	0.4	3	59	10	65	9	66	0.96	Bacterial regulatory helix-turn-helix protein, lysR family
LysR_substrate	PF03466.23	209	sp|P9WMF5|LYSG_MYCTU	-	303	4.9e-10	39.3	1.6	2	2	1.2e-13	8e-10	38.6	0.8	8	183	97	267	90	290	0.77	LysR substrate binding domain
LysR_substrate	PF03466.23	209	tr|Q9I6S0|Q9I6S0_PSEAE	-	306	3.7e-43	147.5	0.1	1	1	4.8e-47	4.8e-43	147.1	0.1	4	208	93	298	90	299	0.95	LysR substrate binding domain
HTH_1	PF00126.30	60	tr|Q9I6S0|Q9I6S0_PSEAE	-	306	5.3e-20	71.3	0.0	1	1	1.1e-23	1.1e-19	70.3	0.0	1	59	6	65	6	66	0.95	Bacterial regulatory helix-turn-helix protein, lysR family
LacI	PF00356.24	46	sp|Q9I1F6|GNTR_PSEAE	-	343	1.5e-13	50.5	0.6	1	1	5.6e-17	2.7e-13	49.6	0.6	1	46	17	62	17	62	0.98	Bacterial regulatory proteins, lacI family
Peripla_BP_3	PF13377.9	166	sp|Q9I1F6|GNTR_PSEAE	-	343	2e-30	106.4	1.2	2	2	3.4e-33	1.7e-29	103.3	0.1	1	166	182	343	182	343	0.86	Periplasmic binding protein-like domain
HTH_24	PF13412.9	48	tr|P96896|P96896_MYCTO	-	150	5.5e-13	48.4	0.2	1	1	3.2e-16	9e-13	47.7	0.2	1	48	5	52	5	52	0.96	Winged helix-turn-helix DNA-binding
AsnC_trans_reg	PF01037.24	75	tr|P96896|P96896_MYCTO	-	150	1.1e-12	47.9	0.1	1	1	8.2e-16	2.3e-12	46.8	0.1	10	75	78	141	71	141	0.91	Lrp/AsnC ligand binding domain
LysR_substrate	PF03466.23	209	sp|Q04778|ALSR_BACSU	-	302	1.8e-43	148.5	0.0	1	1	2.6e-47	2.5e-43	148.0	0.0	2	203	87	287	86	291	0.97	LysR substrate binding domain
HTH_1	PF00126.30	60	sp|Q04778|ALSR_BACSU	-	302	5.8e-23	80.7	0.5	1	1	1e-26	1e-22	80.0	0.5	1	60	3	62	3	62	0.97	Bacterial regulatory helix-turn-helix protein, lysR family
HTH_1	PF00126.30	60	tr|G2IQQ7|G2IQQ7_SPHSK	-	393	2.3e-31	107.6	8.4	2	2	3.7e-19	2.4e-15	56.3	1.2	3	60	90	147	88	147	0.97	Bacterial regulatory helix-turn-helix protein, lysR family
LysR_substrate	PF03466.23	209	tr|G2IQQ7|G2IQQ7_SPHSK	-	393	2.4e-32	112.1	4.6	2	2	3.7e-36	2.4e-32	112.1	4.6	6	207	176	387	171	389	0.94	LysR substrate binding domain
HTH_1	PF00126.30	60	tr|G2IQQ7|G2IQQ7_SPHSK	-	393	2.3e-31	107.6	8.4	1	2	1.2e-18	8e-15	54.7	1.0	1	55	9	63	9	68	0.95	Bacterial regulatory helix-turn-helix protein, lysR family
Fe_dep_repress	PF01325.22	60	sp|Q81M27|MNTR_BACAN	-	142	5.1e-25	87.6	0.6	1	1	2.5e-28	8e-25	86.9	0.6	3	60	3	60	1	60	0.97	Iron dependent repressor, N-terminal DNA binding domain
Fe_dep_repr_C	PF02742.18	70	sp|Q81M27|MNTR_BACAN	-	142	1.6e-18	66.7	0.2	2	2	1.2e-21	3.9e-18	65.4	0.1	1	62	63	123	63	127	0.98	Iron dependent repressor, metal binding and dimerisation domain
Sigma54_activat	PF00158.29	168	tr|Q8ECB1|Q8ECB1_SHEON	-	477	9.6e-73	243.5	0.0	1	1	6.9e-76	1.7e-72	242.8	0.0	1	168	134	301	134	301	0.99	Sigma-54 interaction domain
FleQ	PF06490.14	109	tr|Q8ECB1|Q8ECB1_SHEON	-	477	1.5e-30	105.8	0.1	1	1	1.4e-33	3.4e-30	104.7	0.1	1	109	7	112	7	112	0.99	Flagellar regulatory protein FleQ
Sigma54_activ_2	PF14532.9	138	tr|Q8ECB1|Q8ECB1_SHEON	-	477	7.9e-21	74.8	0.0	2	2	5.5	1.3e+04	-3.7	0.0	88	122	318	352	314	362	0.63	Sigma-54 interaction domain
HTH_8	PF02954.22	42	tr|Q8ECB1|Q8ECB1_SHEON	-	477	1.3e-13	50.5	1.7	1	1	1.3e-16	3.2e-13	49.3	1.7	2	42	432	472	431	472	0.98	Bacterial regulatory protein, Fis family
MarR_2	PF12802.10	61	tr|A0A0T5PJC4|A0A0T5PJC4_9ALTE	-	187	6.9e-05	22.9	0.0	1	1	2.1e-08	0.00014	21.9	0.0	4	60	26	80	22	81	0.90	MarR family
TetR_C_7	PF14246.9	119	tr|A0A2K2UHF4|A0A2K2UHF4_VIBCL	-	200	8.3e-28	96.9	0.0	1	1	1.2e-31	1.2e-27	96.4	0.0	2	119	83	199	82	199	0.98	AefR-like transcriptional repressor, C-terminal domain
TetR_N	PF00440.26	47	tr|A0A2K2UHF4|A0A2K2UHF4_VIBCL	-	200	2.8e-14	52.8	0.1	1	1	5.7e-18	5.5e-14	51.8	0.1	1	47	12	58	12	58	0.97	Bacterial regulatory proteins, tetR family
UTRA	PF07702.16	141	sp|O34817|NAGR_BACSU	-	243	1.1e-40	139.0	0.0	1	1	2.3e-44	1.5e-40	138.5	0.0	1	140	95	233	95	234	0.99	UTRA domain
GntR	PF00392.24	64	sp|O34817|NAGR_BACSU	-	243	1e-22	79.7	0.0	1	2	4.7e-26	3.1e-22	78.1	0.0	2	64	12	74	11	74	0.98	Bacterial regulatory proteins, gntR family
TetR_N	PF00440.26	47	tr|Q9HZP1|Q9HZP1_PSEAE	-	212	3.2e-16	59.0	0.1	1	1	6.7e-20	6.6e-16	58.0	0.1	1	46	18	63	18	64	0.97	Bacterial regulatory proteins, tetR family
TetR_C_33	PF13305.9	104	tr|Q9HZP1|Q9HZP1_PSEAE	-	212	2.4e-08	34.7	0.2	1	1	5.6e-12	5.5e-08	33.6	0.2	3	102	87	194	86	195	0.83	Tetracyclin repressor-like, C-terminal domain
HTH_5	PF01022.23	47	sp|Q88JD1|ARSR2_PSEPK	-	115	9.6e-13	47.9	0.4	1	1	1.5e-16	1.4e-12	47.4	0.4	1	44	13	57	13	58	0.97	Bacterial regulatory protein, arsR family
MerR_1	PF13411.9	69	tr|Q58AJ5|Q58AJ5_CUPMC	-	145	2.6e-20	72.4	0.0	1	1	7.3e-24	4.8e-20	71.5	0.0	2	67	4	70	3	72	0.96	MerR HTH family regulatory protein
AsnC_trans_reg	PF01037.24	75	sp|P96582|LRPC_BACSU	-	144	2.5e-14	53.1	0.0	1	1	9.3e-18	4.6e-14	52.3	0.0	2	74	70	135	69	136	0.92	Lrp/AsnC ligand binding domain
HTH_24	PF13412.9	48	sp|P96582|LRPC_BACSU	-	144	3.7e-14	52.1	0.6	1	1	1.2e-17	5.9e-14	51.5	0.6	1	48	3	50	3	50	0.98	Winged helix-turn-helix DNA-binding
HTH_6	PF01418.20	77	sp|P44540|Y143_HAEIN	-	288	4.8e-31	106.7	0.1	1	1	1.9e-34	1.2e-30	105.4	0.1	2	77	6	81	5	81	0.98	Helix-turn-helix domain, rpiR family
SIS	PF01380.25	131	sp|P44540|Y143_HAEIN	-	288	1.2e-21	77.0	0.2	1	1	3.2e-25	2.1e-21	76.2	0.2	2	128	133	259	132	262	0.87	SIS domain
MarR	PF01047.25	59	sp|A2RNS2|ZITR_LACLM	-	145	3.9e-11	42.8	0.4	1	1	3.2e-14	7e-11	42.0	0.4	1	59	35	92	35	92	0.94	MarR family
Arg_repressor	PF01316.24	70	tr|B9KBT2|B9KBT2_THENN	-	157	2.9e-27	94.3	1.2	1	1	4.6e-31	4.5e-27	93.7	1.2	1	69	8	76	8	77	0.97	Arginine repressor, DNA binding domain
Arg_repressor_C	PF02863.21	68	tr|B9KBT2|B9KBT2_THENN	-	157	3.1e-28	97.6	0.1	2	2	9.5e-32	9.4e-28	96.0	0.2	1	67	88	154	88	155	0.97	Arginine repressor, C-terminal domain
FUR	PF01475.22	121	tr|V6F4Q0|V6F4Q0_MAGGM	-	143	4.7e-40	136.6	0.1	1	1	2.7e-44	5.4e-40	136.4	0.1	2	121	12	130	11	130	0.99	Ferric uptake regulator family
Trp_repressor	PF01371.22	88	sp|O84171|TRPR_CHLTR	-	94	3.4e-31	107.3	0.0	1	1	7.9e-35	3.9e-31	107.2	0.0	2	87	8	93	7	94	0.98	Trp repressor protein
TetR_C_21	PF17926.4	111	sp|Q9ADP7|HTHR_STRCO	-	192	1.3e-27	96.3	0.1	1	1	4.6e-31	2.3e-27	95.5	0.1	1	111	77	188	77	188	0.99	Tetracyclin repressor-like, C-terminal domain
TetR_N	PF00440.26	47	sp|Q9ADP7|HTHR_STRCO	-	192	8.1e-11	41.7	2.5	1	1	2.9e-14	1.4e-10	40.9	2.5	1	46	13	58	13	59	0.97	Bacterial regulatory proteins, tetR family
Arg_repressor	PF01316.24	70	tr|G1UBI2|G1UBI2_THETG	-	164	6.1e-25	86.9	0.1	1	1	1e-28	9.9e-25	86.2	0.1	2	67	3	68	2	70	0.97	Arginine repressor, DNA binding domain
Arg_repressor_C	PF02863.21	68	tr|G1UBI2|G1UBI2_THETG	-	164	1.4e-23	82.6	0.1	1	1	2.4e-27	2.3e-23	81.9	0.1	4	66	85	147	82	149	0.96	Arginine repressor, C-terminal domain
Rrf2	PF02082.23	132	sp|O07573|NSRR_BACSU	-	146	2.6e-37	128.1	0.0	1	1	1.5e-41	3e-37	127.9	0.0	1	132	3	134	3	134	0.99	Iron-dependent Transcriptional regulator
TetR_N	PF00440.26	47	tr|O05858|O05858_MYCTU	-	228	2e-17	62.8	0.0	1	1	5.2e-21	5.1e-17	61.5	0.0	1	47	44	90	44	90	0.96	Bacterial regulatory proteins, tetR family
TetR_C_32	PF19344.2	139	tr|O05858|O05858_MYCTU	-	228	4.7e-07	30.1	0.2	1	1	2.3e-10	2.3e-06	27.9	0.2	2	130	102	223	101	227	0.77	Tetracyclin repressor-like, C-terminal domain
